name,superNode,type,links
Abbey Ale,TRUE,beer,
Altbier,TRUE,beer,
Amber/Red Ale,TRUE,beer,
American-Style Amber Lager,TRUE,beer,
American-Style Brown Ale,TRUE,beer,
American-Style India Pale Ale,TRUE,beer,
American-Style Light Lager,TRUE,beer,
American-Style Pale Ale,TRUE,beer,
American-Style Pilsener,TRUE,beer,
American-Style Stout,TRUE,beer,
American-Style Wheat Beer,TRUE,beer,
Baltic Porter,TRUE,beer,
Barley Wine,TRUE,beer,
Belgian-Style Blonde Ale,TRUE,beer,
Belgian-Style Dark Strong Ale,TRUE,beer,
Belgian-Style Pale Ale,TRUE,beer,
Belgian-Style Pale Strong Ale,TRUE,beer,
Berliner-Weisse,TRUE,beer,
Bière de Garde,TRUE,beer,
Bitter,TRUE,beer,
Black India Pale Ale,TRUE,beer,
Bock,TRUE,beer,
Bohemian-Style Pilsener,TRUE,beer,
California Common,TRUE,beer,
Cream Ale,TRUE,beer,
Doppelbock,TRUE,beer,
Dortmunder,TRUE,beer,
Dubbel,TRUE,beer,
Dunkel,TRUE,beer,
Dunkel Weizen,TRUE,beer,
Eisbock,TRUE,beer,
English-Style Brown Ale,TRUE,beer,
English-Style India Pale Ale,TRUE,beer,
English-Style Pale Ale,TRUE,beer,
Extra Special Bitter,TRUE,beer,
Flanders Oud Bruin or Oud Red Ale,TRUE,beer,
Fruit Beer,TRUE,beer,
Fruit Lambic,TRUE,beer,
Fruit Wheat Beer,TRUE,beer,
German-Style Pilsener,TRUE,beer,
Golden or Blonde Ale,TRUE,beer,
Gose,TRUE,beer,
Gueuze,TRUE,beer,
Hefeweizen,TRUE,beer,
Helles,TRUE,beer,
Honey Beer,TRUE,beer,
Imperial India Pale Ale,TRUE,beer,
Imperial Porter,TRUE,beer,
Imperial Red Ale,TRUE,beer,
Imperial Stout,TRUE,beer,
International-Style Pilsener,TRUE,beer,
Irish-Style Dry Stout,TRUE,beer,
Irish-Style Red Ale,TRUE,beer,
Kölsch,TRUE,beer,
Lambic,TRUE,beer,
Maibock,TRUE,beer,
Malt Liquor,TRUE,beer,
Märzenbier,TRUE,beer,
Mild,TRUE,beer,
Oatmeal Stout,TRUE,beer,
Porter,TRUE,beer,
Pumpkin Beer,TRUE,beer,
Quadrupel,TRUE,beer,
Rauchbier,TRUE,beer,
Rye Beer,TRUE,beer,
Saison,TRUE,beer,
Schwarzbier,TRUE,beer,
Smoked Porter,TRUE,beer,
Sweet Stout or Cream Stout,TRUE,beer,
Tripel,TRUE,beer,
Vienna-Style Lager,TRUE,beer,
Wee Heavy,TRUE,beer,
Weizenbock,TRUE,beer,
Witbier,TRUE,beer,
